position,name,profile_id,points,owner,year,week,gsis_id,birthdate
QB,Matt Ryan,310,8.76,Matt,2011,1,00-0026143,5/17/1985
RB,Ray Rice,941,26.90,Matt,2011,1,00-0026195,1/22/1987
RB,Michael Turner,2506014,12.00,Matt,2011,1,00-0022821,2/13/1982
WR,Marques Colston,2495821,6.10,Matt,2011,1,00-0024466,6/5/1983
WR,Plaxico Burress,2504253,13.20,Matt,2011,1,00-0019642,8/12/1977
TE,Jimmy Graham,497236,11.60,Matt,2011,1,00-0027696,11/24/1986
Q/R/W/T,Matthew Stafford,79860,22.20,Matt,2011,1,00-0026498,2/7/1988
BN,Sam Bradford,497095,4.02,Matt,2011,1,00-0027854,11/8/1987
BN,Steve Breaston,2495562,2.60,Matt,2011,1,00-0025529,8/20/1983
BN,Rex Grossman,2505623,18.20,Matt,2011,1,00-0022121,8/23/1980
BN,Cadillac Williams,2506344,14.00,Matt,2011,1,00-0023440,4/21/1982
BN,Vince Young,2506875,0.00,Matt,2011,1,00-0024218,5/18/1983
BN,Pierre Garcon,2346,3.90,Matt,2011,1,00-0026345,8/8/1986
K,Matt Bryant,2504797,6.00,Matt,2011,1,00-0020578,5/29/1975
DEF,New York Jets,100024,15.00,Matt,2011,1
QB,Drew Brees,2504775,29.06,Kevin,2011,1,00-0020531,1/15/1979
RB,LeSean McCoy,79607,25.70,Kevin,2011,1,00-0027029,7/12/1988
RB,Mike Tolbert,2507428,27.30,Kevin,2011,1,00-0026069,11/23/1985
WR,Santonio Holmes,2506885,7.00,Kevin,2011,1,00-0024240,3/3/1984
WR,Mike Wallace,2507763,10.70,Kevin,2011,1,00-0026901,8/1/1986
TE,Jermichael Finley,1072,5.30,Kevin,2011,1,00-0026231,3/26/1987
Q/R/W/T,Josh Freeman,79557,14.56,Kevin,2011,1,00-0026993,1/13/1988
BN,Tim Tebow,497135,0.00,Kevin,2011,1,00-0027876,8/14/1987
BN,Ben Tate,497208,15.60,Kevin,2011,1,00-0027890,8/21/1988
BN,Daniel Thomas,2495241,0.00,Kevin,2011,1,00-0028000,10/29/1987
BN,Delone Carter,2495269,2.50,Kevin,2011,1,00-0028057,6/22/1987
BN,Blaine Gabbert,2495441,0.00,Kevin,2011,1,00-0027948,10/15/1989
BN,Julio Jones,2495454,7.10,Kevin,2011,1,00-0027944,2/3/1989
K,Alex Henery,2495162,7.00,Kevin,2011,1,00-0028058,8/18/1987
DEF,Green Bay Packers,100011,7.00,Kevin,2011,1
