rank,name,team,bye
1,Aaron Rodgers,GB,8
2,Michael Vick,PHI,7
3,Drew Brees,NO,11
4,Tom Brady,NE,7
5,Peyton Manning,IND,11
6,Philip Rivers,SD,6
7,Tony Romo,DAL,5
8,Matt Schaub,HOU,11
9,Ben Roethlisberger,PIT,11
10,Matt Ryan,ATL,8
11,Josh Freeman,TB,8
12,Eli Manning,NYG,7
13,Matthew Stafford,DET,9
14,Jay Cutler,CHI,8
15,Joe Flacco,BAL,5
16,Sam Bradford,STL,5
17,Kevin Kolb,ARI,6
18,Matt Cassel,KC,6
19,Ryan Fitzpatrick,BUF,7
20,Mark Sanchez,NYJ,8
21,Kyle Orton,DEN,6
22,Donovan McNabb,MIN,9
23,David Garrard,JAC,9
24,Jason Campbell,OAK,8
25,Tim Tebow,DEN,6
26,Matt Hasselbeck,TEN,6
27,Colt McCoy,CLE,5
28,Cam Newton,CAR,9
29,Tarvaris Jackson,SEA,6
30,Alex Smith,SF,7
31,Chad Henne,MIA,5
32,Jake Locker,TEN,6
33,Vince Young,PHI,7
34,Christian Ponder,MIN,9
35,Bruce Gradkowski,CIN,7
36,Rex Grossman,WAS,5
37,Andy Dalton,CIN,7
38,Matt Moore,MIA,5
39,John Beck,WAS,5
40,Carson Palmer,CIN,7
41,Blaine Gabbert,JAC,9
42,Colin Kaepernick,SF,7
43,Charlie Whitehurst,SEA,6
44,Shaun Hill,DET,9
45,Jimmy Clausen,CAR,9
46,Marc Bulger,BAL,5
47,Kellen Clemens,WAS,5
48,Derek Anderson,CAR,9
49,Brian Hoyer,NE,7
50,Tyler Thigpen,BUF,7
51,Mike Kafka,PHI,7
52,Matt Flynn,GB,8
53,Jon Kitna,DAL,5
54,Byron Leftwich,PIT,11
55,Joe Webb,MIN,9
56,Kyle Boller,OAK,8
57,Seneca Wallace,CLE,5
58,Rusty Smith,TEN,6
59,John Skelton,ARI,6
60,Drew Stanton,DET,9
61,Curtis Painter,IND,11
62,Billy Volek,SD,6
63,Matt Leinart,HOU,11
64,Trent Edwards,OAK,8
65,Max Hall,ARI,6
66,Troy Smith,SF,7
67,Caleb Hanie,CHI,8
68,Jordan Palmer,CIN,7
69,Chris Redman,ATL,8
70,Sage Rosenfels,NYG,7
71,Josh Johnson,TB,8
72,Dan Orlovsky,IND,11
73,A.J. Feeley,STL,5
74,Chase Daniel,NO,11
75,Brady Quinn,DEN,6
76,David Carr,NYG,7
77,Mark Brunell,NYJ,8
78,Greg McElroy,NYJ,8
79,Ricky Stanzi,KC,6
80,Tyrod Taylor,BAL,5
81,Ryan Mallett,NE,7
82,Stephen McGee,DAL,5
83,Jake Delhomme,CLE,5
84,Dan LeFevour,CIN,7
85,Luke McCown,JAC,9
