Rank,Player Name,Team,Bye
1,Adrian Peterson,MIN,9
2,Arian Foster,HOU,11
3,Jamaal Charles,KC,6
4,Chris Johnson,TEN,6
5,Ray Rice,BAL,5
6,Rashard Mendenhall,PIT,11
7,LeSean McCoy,PHI,7
8,Darren McFadden,OAK,8
9,Maurice Jones-Drew,JAC,9
10,Frank Gore,SF,7
11,Michael Turner,ATL,8
12,Matt Forte,CHI,8
13,Steven Jackson,STL,5
14,Peyton Hillis,CLE,5
15,LeGarrette Blount,TB,8
16,Ahmad Bradshaw,NYG,7
17,Shonn Greene,NYJ,8
18,DeAngelo Williams,CAR,9
19,Jahvid Best,DET,9
20,Felix Jones,DAL,5
21,Mark Ingram,NO,11
22,Knowshon Moreno,DEN,6
23,Ryan Mathews,SD,6
24,"Chris ""Beanie"" Wells",ARI,6
25,Cedric Benson,CIN,7
26,Fred Jackson,BUF,7
27,Marshawn Lynch,SEA,6
28,Joseph Addai,IND,11
29,Ryan Grant,GB,8
30,Jonathan Stewart,CAR,9
31,Tim Hightower,WAS,5
32,BenJarvus Green-Ellis,NE,7
33,Mike Tolbert,SD,6
34,Daniel Thomas,MIA,5
35,Brandon Jacobs,NYG,7
36,Reggie Bush,MIA,5
37,James Starks,GB,8
38,Michael Bush,OAK,8
39,Pierre Thomas,NO,11
40,Willis McGahee,DEN,6
41,C.J. Spiller,BUF,7
42,LaDainian Tomlinson,NYJ,8
43,Danny Woodhead,NE,7
44,Ryan Torain,WAS,5
45,Rashad Jennings,JAC,9
46,Ryan Williams,ARI,6
47,Delone Carter,IND,11
48,Darren Sproles,NO,11
49,Thomas Jones,KC,6
50,Ronnie Brown,PHI,7
51,Roy Helu,WAS,5
52,Ben Tate,HOU,11
53,DeMarco Murray,DAL,5
54,Bernard Scott,CIN,7
55,Shane Vereen,NE,7
56,Marion Barber,CHI,8
57,Ricky Williams,BAL,5
58,Jason Snelling,ATL,8
59,Stevan Ridley,NE,7
60,Montario Hardesty,CLE,5
61,Mikel Leshoure,DET,9
62,Jerome Harrison,DET,9
63,Justin Forsett,SEA,6
64,Tashard Choice,DAL,5
65,Kendall Hunter,SF,7
66,Donald Brown,IND,11
67,Javon Ringer,TEN,6
68,Brandon Jackson,CLE,5
69,Evan Royster,WAS,5
70,Jacquizz Rodgers,ATL,8
71,Derrick Ward,HOU,11
72,Deji Karim,JAC,9
73,Aaron Brown,DET,9
74,Joe McKnight,NYJ,8
75,Maurice Morris,DET,9
76,Mike Goodson,CAR,9
77,Bilal Powell,NYJ,8
78,Kregg Lumpkin,TB,8
79,"Carnell ""Cadillac"" Williams",STL,5
80,LaRod Stephens-Howling,ARI,6
81,Leon Washington,SEA,6
82,Jalen Parmele,BAL,5
83,Alex Green,GB,8
84,Earnest Graham,TB,8
85,Toby Gerhart,MIN,9
86,Jamie Harper,TEN,6
87,Anthony Dixon,SF,7
88,Isaac Redman,PIT,11
89,Christopher Ivory,NO,11
90,Chester Taylor,ARI,6
91,Jordan Todman,SD,6
92,Dexter McCluster,KC,6
93,Marcel Reece,OAK,8
94,Anthony Allen,BAL,5
95,Owen Schmitt,PHI,7
96,Taiwan Jones,OAK,8
97,Jacob Hester,SD,6
98,Lex Hilliard,MIA,5
99,Jerious Norwood,STL,5
100,Allen Bradford,TB,8
101,Steve Slaton,HOU,11
102,Javarris James,IND,11
103,Danny Ware,NYG,7
104,Johnny White,BUF,7
105,Mewelde Moore,PIT,11
106,Keiland Williams,DET,9
107,John Kuhn,GB,8
108,Eldra Buckley,PHI,7
109,Le'Ron McClain,KC,6
110,Lance Ball,DEN,6
111,Dion Lewis,PHI,7
112,Vonta Leach,BAL,5
113,Greg Jones,JAC,9
114,Brian Leonard,CIN,7
115,Jackie Battle,KC,6
116,Kahlil Bell,CHI,8
117,Lousaka Polite,MIA,5
118,Jonathan Dwyer,PIT,11
119,Cedric Peerman,CIN,7
120,Tyrell Sutton,CAR,9
121,Michael Robinson,SEA,6
122,Mike Bell,DET,9
123,Lorenzo Booker,MIN,9
124,James Davis,WAS,5
125,Jerome Felton,CAR,9
126,Keith Toston,STL,5
127,Moran Norris,SF,7
