Rank,Player,Team,Bye Week
1,Antonio Gates,SD,6
2,Jason Witten,DAL,5
3,Dallas Clark,IND,11
4,Vernon Davis,SF,7
5,Jermichael Finley,GB,8
6,Owen Daniels,HOU,11
7,Jimmy Graham,NO,11
8,Rob Gronkowski,NE,7
9,Chris Cooley,WAS,5
10,Zach Miller,OAK,8
11,Marcedes Lewis,JAC,9
12,Kellen Winslow,TB,8
13,Tony Gonzalez,ATL,8
14,Brandon Pettigrew,DET,9
15,Dustin Keller,NYJ,8
16,Aaron Hernandez,NE,7
17,Jermaine Gresham,CIN,7
18,Brent Celek,PHI,7
19,Benjamin Watson,CLE,5
20,Greg Olsen,CHI,8
21,Todd Heap,BAL,5
22,Kevin Boss,NYG,7
23,Tony Moeaki,KC,6
24,Visanthe Shiancoe,MIN,9
25,Jared Cook,TEN,6
26,Heath Miller,PIT,11
27,Jacob Tamme,IND,11
28,Jeremy Shockey,NO,11
29,Anthony Fasano,MIA,5
30,John Carlson,SEA,6
31,Bo Scaife,TEN,6
32,Fred Davis,WAS,5
33,Michael Hoomanawanui,STL,5
34,Tony Scheffler,DET,9
35,Joel Dreessen,HOU,11
36,David Thomas,NO,11
37,Daniel Fells,STL,5
38,Evan Moore,CLE,5
39,Delanie Walker,SF,7
40,Zach Miller,JAC,9
41,Randy McMichael,SD,6
42,Dante Rosario,CAR,9
43,Andrew Quarless,GB,8
44,Ed Dickson,BAL,5
45,Leonard Pope,KC,6
46,Gijon Robinson,IND,11
47,John Gilmore,TB,8
48,Justin Peelle,ATL,8
50,Mark Clayton,STL,5
51,Danny Amendola,STL,5
52,Randy Moss,TEN,6
53,Mike Sims-Walker,JAC,9
54,Lee Evans,BUF,7
55,Donald Driver,GB,8
56,Anthony Armstrong,WAS,5
57,Patrick Crayton,SD,6
58,Steve Breaston,ARI,6
59,Mohamed Massaquoi,CLE,5
60,Nate Burleson,DET,9
61,Devin Hester,CHI,8
62,Josh Morgan,SF,7
63,David Gettis,CAR,9
64,Earl Bennett,CHI,8
65,Michael Jenkins,ATL,8
66,Jacoby Jones,HOU,11
67,Devery Henderson,NO,11
68,Louis Murphy,OAK,8
69,Brian Hartline,MIA,5
70,Jabar Gaffney,DEN,6
71,Ben Obomanu,SEA,6
72,Brandon Tate,NE,7
73,Arrelious Benn,TB,8
74,Kevin Walter,HOU,11
75,Brandon LaFell,CAR,9
76,Eddie Royal,DEN,6
77,Nate Washington,TEN,6
78,Jordan Shipley,CIN,7
79,Jerricho Cotchery,NYJ,8
80,Early Doucet,ARI,6
81,Roscoe Parrish,BUF,7
82,Danario Alexander,STL,5
83,Emmanuel Sanders,PIT,11
84,Jason Hill,JAC,9
85,Donnie Avery,STL,5
86,Roy Williams,DAL,5
87,Blair White,IND,11
88,Andre Caldwell,CIN,7
89,Deon Butler,SEA,6
90,Antonio Brown,PIT,11
91,T.J. Houshmandzadeh,BAL,5
92,Darrius Heyward-Bey,OAK,8
93,David Nelson,BUF,7
94,Eric Decker,DEN,6
95,Justin Gage,TEN,6
96,Maurice Stovall,TB,8
97,Stephen Williams,ARI,6
98,Brandon Gibson,STL,5
99,Jason Avant,PHI,7
100,Andre Roberts,ARI,6
101,Laurent Robinson,STL,5
102,Donte Stallworth,BAL,5
103,Brandon Stokley,SEA,6
104,Riley Cooper,PHI,7
105,Mardy Gilyard,STL,5
106,Lavelle Hawkins,TEN,6
107,Bernard Berrian,MIN,9
108,Chansi Stuckey,CLE,5
109,Dexter McCluster,KC,6
110,Brad Smith,NYJ,8
111,Donald Jones,BUF,7
112,Devin Aromashodu,CHI,8
113,Harry Douglas,ATL,8
114,Josh Cribbs,CLE,5
115,Antwaan Randle El,PIT,11
116,Legedu Naanee,SD,6
117,Golden Tate,SEA,6
118,David Clowney,CAR,9
119,Sammie Stroughter,TB,8
120,Brian Robiskie,CLE,5
121,Micheal Spurlock,TB,8
122,Seyi Ajirotutu,SD,6
