Rank,Best,Worst,ADP,Name,Team,Bye
1,1,1,1,Andre Johnson,HOU,11
2,2,4,3,Roddy White,ATL,8
3,2,9,2,Calvin Johnson,DET,9
4,2,8,4,Hakeem Nicks,NYG,7
5,3,8,5,Greg Jennings,GB,8
6,5,8,7,Mike Wallace,PIT,11
7,2,13,9,Reggie Wayne,IND,11
8,5,8,10,Larry Fitzgerald,ARI,6
9,8,12,12,Dwayne Bowe,KC,6
10,9,13,6,DeSean Jackson,PHI,7
11,9,13,8,Vincent Jackson,SD,6
12,5,17,11,Miles Austin,DAL,5
13,10,17,15,Brandon Marshall,MIA,5
14,14,18,17,Jeremy Maclin,PHI,7
15,13,20,19,Wes Welker,NE,7
16,9,24,16,Brandon Lloyd,DEN,6
17,11,23,14,Marques Colston,NO,11
18,14,23,20,Steve Johnson,BUF,7
19,16,27,18,Dez Bryant,DAL,5
20,16,26,22,Santonio Holmes,NYJ,8
21,11,47,13,Mike Williams,TB,8
22,17,30,26,Percy Harvin,MIN,9
23,18,34,23,Kenny Britt,TEN,6
24,20,33,21,Anquan Boldin,BAL,5
25,21,37,24,Sidney Rice,MIN,9
26,22,32,28,Pierre Garcon,IND,11
27,23,31,32,Johnny Knox,CHI,8
28,21,33,35,Santana Moss,WAS,5
29,24,39,27,Michael Crabtree,SF,7
30,13,42,25,Austin Collie,IND,11
31,26,41,38,Mario Manningham,NYG,7
32,20,56,33,Deion Branch,NE,7
33,31,37,34,Steve Smith,CAR,9
34,31,49,44,Braylon Edwards,NYJ,8
35,25,46,39,Mike Williams,SEA,6
36,31,51,47,Mike Thomas,JAC,9
37,32,50,56,Davone Bess,MIA,5
38,28,71,31,Terrell Owens,CIN,7
39,27,54,52,Jacoby Ford,OAK,8
40,35,51,40,Chad Ochocinco,CIN,7
41,28,77,29,Steve Smith,NYG,7
42,29,56,30,Malcom Floyd,SD,6
43,37,68,45,Derrick Mason,BAL,5
44,35,55,46,Jordy Nelson,GB,8
45,39,53,37,Hines Ward,PIT,11
46,38,54,58,Jerome Simpson,CIN,7
47,40,52,59,Lance Moore,NO,11
48,40,65,60,James Jones,GB,8
49,40,57,41,Robert Meachem,NO,11
50,39,108,55,Mark Clayton,STL,5
51,42,56,66,Danny Amendola,STL,5
52,36,64,42,Randy Moss,TEN,6
53,44,62,36,Mike Sims-Walker,JAC,9
54,43,70,49,Lee Evans,BUF,7
55,44,75,43,Donald Driver,GB,8
56,47,63,69,Anthony Armstrong,WAS,5
57,48,120,,Patrick Crayton,SD,6
58,48,70,48,Steve Breaston,ARI,6
59,50,88,61,Mohamed Massaquoi,CLE,5
60,50,66,68,Nate Burleson,DET,9
61,53,79,50,Devin Hester,CHI,8
62,53,74,,Josh Morgan,SF,7
63,53,73,,David Gettis,CAR,9
64,54,77,64,Earl Bennett,CHI,8
65,55,55,71,Michael Jenkins,ATL,8
66,56,71,53,Jacoby Jones,HOU,11
67,58,82,,Devery Henderson,NO,11
68,58,79,,Louis Murphy,OAK,8
69,58,79,,Brian Hartline,MIA,5
70,59,106,,Jabar Gaffney,DEN,6
71,59,74,,Ben Obomanu,SEA,6
72,60,81,79,Brandon Tate,NE,7
73,60,80,73,Arrelious Benn,TB,8
74,60,80,,Kevin Walter,HOU,11
75,60,74,,Brandon LaFell,CAR,9
76,61,84,65,Eddie Royal,DEN,6
77,62,100,,Nate Washington,TEN,6
78,62,70,,Jordan Shipley,CIN,7
79,64,85,,Jerricho Cotchery,NYJ,8
80,67,89,,Early Doucet,ARI,6
81,67,67,,Roscoe Parrish,BUF,7
82,68,87,57,Danario Alexander,STL,5
83,68,71,62,Emmanuel Sanders,PIT,11
84,71,71,,Jason Hill,JAC,9
85,72,80,77,Donnie Avery,STL,5
86,72,76,74,Roy Williams,DAL,5
87,77,118,,Blair White,IND,11
88,77,94,,Andre Caldwell,CIN,7
89,78,78,,Deon Butler,SEA,6
90,80,80,,Antonio Brown,PIT,11
91,83,83,,T.J. Houshmandzadeh,BAL,5
92,90,90,,Darrius Heyward-Bey,OAK,8
93,91,91,,David Nelson,BUF,7
94,92,92,,Eric Decker,DEN,6
95,93,93,,Justin Gage,TEN,6
96,95,95,,Maurice Stovall,TB,8
97,96,96,,Stephen Williams,ARI,6
98,97,97,,Brandon Gibson,STL,5
99,98,98,76,Jason Avant,PHI,7
100,99,99,,Andre Roberts,ARI,6
101,101,101,,Laurent Robinson,STL,5
102,102,102,,Donte Stallworth,BAL,5
103,103,103,,Brandon Stokley,SEA,6
104,104,104,,Riley Cooper,PHI,7
105,105,105,,Mardy Gilyard,STL,5
106,107,107,,Lavelle Hawkins,TEN,6
107,109,109,,Bernard Berrian,MIN,9
108,110,110,,Chansi Stuckey,CLE,5
109,111,111,51,Dexter McCluster,KC,6
110,112,112,,Brad Smith,NYJ,8
111,113,113,,Donald Jones,BUF,7
112,114,114,,Devin Aromashodu,CHI,8
113,115,115,,Harry Douglas,ATL,8
114,116,116,72,Josh Cribbs,CLE,5
115,117,117,,Antwaan Randle El,PIT,11
116,119,119,75,Legedu Naanee,SD,6
117,121,121,63,Golden Tate,SEA,6
118,122,122,,David Clowney,CAR,9
119,123,123,,Sammie Stroughter,TB,8
120,124,124,,Brian Robiskie,CLE,5
121,125,125,,Micheal Spurlock,TB,8
122,126,126,,Seyi Ajirotutu,SD,6
