Rank,Player,Best,Worst,Ave,Std Dev,ADP
1,"Jimmy Graham (NO, 6)",1,2,1.4,0.5,1
2,"Rob Gronkowski (NE, 9)",1,4,1.6,0.6,2
3,"Antonio Gates (SD, 7)",2,9,3.8,1.3,3
4,"Aaron Hernandez (NE, 9)",2,12,4.1,1.4,4
5,"Vernon Davis (SF, 9)",3,11,5.4,1.4,5
6,"Jermichael Finley (GB, 10)",3,18,5.8,1.7,6
7,"Jason Witten (DAL, 5)",3,15,8.2,2.4,7
8,"Fred Davis (WAS, 10)",3,20,8.7,2.5,8
9,"Tony Gonzalez (ATL, 7)",6,16,9.7,2.1,10
10,"Brandon Pettigrew (DET, 5)",3,17,9.7,2.3,9
11,"Brent Celek (PHI, 7)",7,18,12.7,2.4,14
12,"Jermaine Gresham (CIN, 8)",4,19,13,2.8,12
13,"Jacob Tamme (DEN, 7)",6,29,13.7,4.1,11
14,"Jared Cook (TEN, 11)",8,27,14.8,3.3,15
15,"Greg Olsen (CAR, 6)",8,28,15.2,3.9,16
16,"Owen Daniels (HOU, 8)",6,26,15.7,3.2,13
17,"Dustin Keller (NYJ, 9)",6,27,16,3.5,18
18,"Kyle Rudolph (MIN, 11)",7,28,16.7,4.2,21
19,"Coby Fleener (IND, 4)",9,32,18.3,3.4,17
20,"Kellen Winslow (SEA, 11)",11,38,23.2,5.4,20
21,"Martellus Bennett (NYG, 11)",12,40,23.6,5.2,22
22,"Ed Dickson (BAL, 8)",12,35,22.4,3.7,24
23,"Heath Miller (PIT, 4)",15,30,22,3,19
24,"Dallas Clark (TB, 5)",8,44,24.6,5.8,26
25,"Tony Moeaki (KC, 7)",13,40,25.6,4.7,23
26,"Lance Kendricks (STL, 9)",14,40,26.2,5.1,32
27,"Dwayne Allen (IND, 4)",13,47,28.4,7.4,
28,"Scott Chandler (BUF, 8)",14,37,26.4,4.7,28
29,"Kellen Davis (CHI, 6)",12,39,27.9,5.7,
30,"Marcedes Lewis (JAC, 6)",16,41,25.6,5.2,27
31,"James Casey (HOU, 8)",16,59,34,10,
32,"Anthony Fasano (MIA, 7)",18,40,28.9,4.6,36
33,"Joel Dreessen (DEN, 7)",21,40,30.8,4.9,25
34,"Kevin Boss (KC, 7)",22,45,36.6,5.8,30
35,"Robert Housler (ARI, 10)",22,43,33.1,5.5,
36,"Zach Miller (SEA, 11)",22,43,32.5,5.5,
37,"Alex Smith (CLE, 10)",23,48,35.5,12.5,
38,"Dennis Pitta (BAL, 8)",23,44,31.2,4.6,35
39,"Benjamin Watson (CLE, 10)",23,42,33.1,5.1,31
40,"Gary Barnidge (CAR, 6)",24,59,45.6,10.7,
41,"Jordan Cameron (CLE, 10)",24,53,35.7,6.9,
42,"Tony Scheffler (DET, 5)",24,40,33.5,4.2,
43,"Charles Clay (MIA, 7)",25,57,35.2,7.7,
44,"Luke Stocker (TB, 5)",25,51,39.7,6.5,
45,"John Carlson (MIN, 11)",26,58,37,5.4,
46,"John Phillips (DAL, 5)",26,52,41.6,7.1,
47,"Julius Thomas (DEN, 7)",27,65,45.7,10.9,
48,"Ladarius Green (SD, 7)",27,64,45.7,11.5,
49,"Evan Moore (CLE, 10)",27,57,35.2,6.1,34
50,Chris Cooley (),29,70,41.8,12.1,
51,"Jake Ballard (NE, 9)",29,68,48.7,16.9,
52,"Evan Rodriguez (CHI, 6)",30,62,47.5,10.1,
53,"Zach Miller (JAC, 6)",30,61,46.6,10.5,
54,"Todd Heap (ARI, 10)",31,48,37.6,4.1,33
55,"Bear Pascoe (NYG, 11)",32,54,39.3,6.5,
56,"Delanie Walker (SF, 9)",33,52,43,5.5,
57,"David Thomas (NO, 6)",34,63,46.6,8.5,
58,"Michael Egnew (MIA, 7)",34,58,46.3,7.8,
59,"David Ausberry (OAK, 5)",35,66,44.3,12.6,
60,"Brandon Myers (OAK, 5)",35,65,47,9.7,
61,"Craig Stevens (TEN, 11)",35,62,52.7,12.5,
62,"D.J. Williams (GB, 10)",35,61,47.1,8.1,
63,"Garrett Graham (HOU, 8)",35,51,40.7,5.3,
64,"Niles Paul (WAS, 10)",35,45,41.7,4.7,
65,"Tom Crabtree (GB, 10)",37,59,44.3,10.4,
66,"Clay Harbor (PHI, 7)",38,55,51.3,5.6,
67,Jeremy Shockey (),39,70,48.8,12.6,29
68,"Randy McMichael (SD, 7)",39,60,49.5,5.5,
69,"Jeff King (ARI, 10)",40,63,54.4,8.1,
70,"Visanthe Shiancoe (NE, 9)",40,61,51.1,6.9,
71,"Orson Charles (CIN, 8)",40,60,48.2,6.3,
72,"Leonard Pope (PIT, 4)",41,46,43.5,2.5,
73,"Travis Beckum (NYG, 11)",43,66,53.4,7.4,
74,"Michael Hoomanawanui (STL, 9)",44,63,52.4,6.4,
75,"Adrien Robinson (NYG, 11)",46,58,52.7,5,
76,"Dante Rosario (SD, 7)",47,67,59.3,8.8,
77,"Andrew Quarless (GB, 10)",52,65,58.5,6.5,
78,"Matt Spaeth (CHI, 6)",54,60,57,3,
79,"Daniel Fells (NE, 9)",55,69,63.7,6.2,
