Rank,Name,Team,Bye
1,Drew Brees,NO,7
2,Aaron Rodgers,GB,4
3,Peyton Manning,DEN,9
4,Cam Newton,CAR,4
5,Tom Brady,NE,10
6,Matt Ryan,ATL,6
7,Matthew Stafford,DET,9
8,Robert Griffin III,WAS,5
9,Colin Kaepernick,SF,9
10,Andrew Luck,IND,8
11,Russell Wilson,SEA,12
12,Tony Romo,DAL,11
13,Eli Manning,NYG,9
14,Ben Roethlisberger,PIT,5
15,Andy Dalton,CIN,12
16,Jay Cutler,CHI,8
17,Josh Freeman,TB,5
18,Michael Vick,PHI,12
19,Joe Flacco,BAL,8
20,Carson Palmer,ARI,9
21,Sam Bradford,STL,11
22,Philip Rivers,SD,8
23,Matt Schaub,HOU,8
24,Ryan Tannehill,MIA,6
25,Alex Smith,KC,10
26,E.J. Manuel,BUF,12
27,Brandon Weeden,CLE,10
28,Jake Locker,TEN,8
29,Matt Flynn,OAK,7
30,Christian Ponder,MIN,5
31,Geno Smith,NYJ,10
32,Chad Henne,JAC,9
33,Ryan Fitzpatrick,TEN,8
34,Nick Foles,PHI,12
35,Kevin Kolb,BUF,12
36,Blaine Gabbert,JAC,9
37,Mark Sanchez,NYJ,10
38,Matt Cassel,MIN,5
39,Matt Barkley,PHI,12
40,Brock Osweiler,DEN,9
41,Shaun Hill,DET,9
42,Terrelle Pryor,OAK,7
43,Kirk Cousins,WAS,5
44,Tyler Wilson,OAK,7
45,Drew Stanton,ARI,9
46,Dennis Dixon,PHI,12
47,Jason Campbell,CLE,10
48,Matt Hasselbeck,IND,8
49,Chase Daniel,KC,10
50,Tim Tebow,NE,10
51,Tarvaris Jackson,SEA,12
52,Ryan Mallett,NE,10
53,Mike Glennon,TB,5
54,Bruce Gradkowski,PIT,5
55,Josh McCown,CHI,8
56,Kyle Orton,DAL,11
57,Brian Hoyer,CLE,10
58,Vince Young,GB,4
59,Matt Moore,MIA,6
60,Taylor Yates,HOU,8
61,Colt McCoy,SF,9
62,Charlie Whitehurst,SD,8
63,Tyrod Taylor,BAL,8
64,Dan Orlovsky,TB,5
65,Seneca Wallace,NO,7
66,Josh Johnson,CIN,12
67,Brady Quinn,SEA,12
68,Landry Jones,PIT,5
69,Derek Anderson,CAR,4
70,Graham Harrell,GB,4
71,JaMarcus Russell,FA,1
