Rank,Player,Best,Worst,Ave,Std Dev,ADP,
1,Adrian Peterson (MIN/5),1,3,1.1,0.4,1,0
2,Doug Martin (TB/5),1,10,3,1.6,3,1
3,Arian Foster (HOU/8),1,9,3.6,1.7,2,-1
4,Jamaal Charles (KC/10),2,10,4.4,1.9,4,0
5,C.J. Spiller (BUF/12),2,26,6.2,3,6,1
6,Marshawn Lynch (SEA/12),1,17,6.7,2.3,5,-1
7,Ray Rice (BAL/8),3,12,7.3,2,7,0
8,LeSean McCoy (PHI/12),2,15,7.3,2.5,9,1
9,Trent Richardson (CLE/10),1,13,7.6,2.2,8,-1
10,Alfred Morris (WAS/5),5,16,9.8,2,10,0
11,Steven Jackson (ATL/6),4,26,11.9,3,12,1
12,Matt Forte (CHI/8),5,20,11.9,2.1,11,-1
13,Stevan Ridley (NE/10),8,27,14.4,3.1,14,1
14,Chris Johnson (TEN/8),8,22,14.7,2.5,13,-1
15,Maurice Jones-Drew (JAC/9),4,29,15.2,3.4,15,0
16,Frank Gore (SF/9),11,25,17.3,2.7,18,2
17,Reggie Bush (DET/9),11,28,17.7,3.2,17,0
18,DeMarco Murray (DAL/11),11,28,17.8,3,16,-2
19,Darren McFadden (OAK/7),10,32,19.6,3.4,19,0
20,Lamar Miller (MIA/6),6,43,20,4.4,21,1
21,David Wilson (NYG/9),7,40,20.5,4,20,-1
22,Le'Veon Bell (PIT/5),10,44,22.3,4.5,24,2
23,Darren Sproles (NO/7),12,32,22.7,3.5,22,-1
24,Christopher Ivory (NYJ/10),14,41,24.8,4.5,27,3
25,Montee Ball (DEN/9),8,52,26.3,6.4,23,-2
26,Ryan Mathews (SD/8),17,45,26.7,3.9,25,-1
27,Ahmad Bradshaw (IND/8),16,37,27.6,3.4,28,1
28,Eddie Lacy (GB/4),17,50,28.9,5.2,26,-2
29,Rashard Mendenhall (ARI/9),21,44,29.5,4.1,29,0
30,Giovani Bernard (CIN/12),22,68,31.5,7,31,1
31,Shane Vereen (NE/10),20,65,32,6.5,30,-1
32,BenJarvus Green-Ellis (CIN/12),18,43,33,4.7,32,0
33,Andre Brown (NYG/9),21,57,33.7,5.7,33,0
34,DeAngelo Williams (CAR/4),18,50,35.5,6.5,36,2
35,Mark Ingram (NO/7),22,51,36,5.3,34,-1
36,Jonathan Stewart (CAR/4),26,67,38.6,7.7,39,3
37,Daryl Richardson (STL/11),26,59,39.1,8.1,35,-2
38,Fred Jackson (BUF/12),25,56,40.5,5.5,45,7
39,Bernard Pierce (BAL/8),17,57,41.2,5.1,44,5
40,Bryce Brown (PHI/12),29,66,41.6,6.4,40,0
41,Ben Tate (HOU/8),32,72,42.6,6.1,37,-4
42,Ronnie Hillman (DEN/9),22,67,43.3,9.1,41,-1
43,Pierre Thomas (NO/7),30,66,43.1,6.8,50,7
44,Vick Ballard (IND/8),24,76,43.2,6.9,38,-6
45,Isaiah Pead (STL/11),29,66,44.5,7.6,46,1
46,Mikel Leshoure (DET/9),23,74,44.5,8.4,43,-3
47,Johnathan Franklin (GB/4),26,57,44.5,6.3,42,-5
48,Danny Woodhead (SD/8),31,67,45,6.7,49,1
49,Zac Stacy (STL/11),34,78,49,8,47,-2
50,Jacquizz Rodgers (ATL/6),34,65,48.9,5.8,52,2
51,Shonn Greene (TEN/8),25,60,49.8,6.1,54,3
52,Michael Bush (CHI/8),34,74,51.2,6.1,53,1
53,Ryan Williams (ARI/9),35,74,53.2,8,51,-2
54,Bilal Powell (NYJ/10),36,96,57.2,11.8,70,16
55,Knowshon Moreno (DEN/9),37,85,54.5,8.5,62,7
56,Joique Bell (DET/9),31,93,57.3,10.4,60,4
57,Mike Goodson (NYJ/10),32,92,57.4,9.3,68,11
58,Daniel Thomas (MIA/6),37,77,57.8,7.7,65,7
59,Joseph Randle (DAL/11),41,78,58.4,7.4,56,-3
60,Jonathan Dwyer (PIT/5),32,77,61.8,8.6,61,1
61,Kendall Hunter (SF/9),41,78,58.8,7.4,64,3
62,Marcel Reece (OAK/7),45,76,58.3,6.4,58,-4
63,Willis McGahee (FA),45,126,64.6,14.4,63,0
64,Michael Turner (FA),32,129,68.3,16.5,57,-7
