Rank,Player,Best,Worst,Ave,Std Dev,ADP
1,Calvin Johnson (DET/9),1,3,1.1,0.4,1
2,Demaryius Thomas (DEN/4),1,5,2.5,0.8,2
3,Dez Bryant (DAL/11),1,5,2.9,1,3
4,A.J. Green (CIN/4),2,10,4.7,1.6,4
5,Julio Jones (ATL/9),2,10,5.2,1.7,5
6,Brandon Marshall (CHI/9),3,9,5.4,1.2,6
7,Jordy Nelson (GB/9),6,13,7.6,1.5,7
8,Alshon Jeffery (CHI/9),5,19,8.3,2,9
9,Antonio Brown (PIT/12),5,16,8.4,1.9,8
10,Randall Cobb (GB/9),7,20,10.7,2.2,10
11,Vincent Jackson (TB/7),10,21,13.3,2.4,12
12,Keenan Allen (SD/10),7,19,13.3,2.8,14
13,Andre Johnson (HOU/10),9,31,15,4.5,13
14,Pierre Garcon (WAS/10),10,24,15.1,3.6,15
15,Victor Cruz (NYG/8),9,30,15.8,4.4,17
16,Larry Fitzgerald (ARI/4),11,30,17,4.4,11
17,Roddy White (ATL/9),10,29,17.4,3.8,20
18,Michael Crabtree (SF/8),9,40,20.1,6.2,18
19,Wes Welker (DEN/4),10,39,20.6,5.3,16
20,Michael Floyd (ARI/4),11,34,20.8,4.5,23
21,Cordarrelle Patterson (MIN/10),13,35,21.2,4.7,21
22,Percy Harvin (SEA/4),11,44,22.4,6.2,22
23,Torrey Smith (BAL/11),13,33,23,4.5,25
24,DeSean Jackson (WAS/10),16,44,23.3,4.9,19
25,Mike Wallace (MIA/5),11,38,25.6,5.4,30
26,Kendall Wright (TEN/9),18,35,27.3,3.7,32
27,Ty Hilton (IND/10),14,47,27.8,6.9,24
28,Marques Colston (NO/6),13,45,29.2,5.9,29
29,Jeremy Maclin (PHI/7),16,43,29.7,6.7,27
30,Julian Edelman (NE/10),20,54,31.3,7.2,26
31,Eric Decker (NYJ/11),22,39,31.4,4.3,34
32,Terrance Williams (DAL/11),23,57,33.9,8.7,36
33,Golden Tate (DET/9),21,56,34.2,7.2,31
34,Emmanuel Sanders (DEN/4),17,49,35,7,28
35,Reggie Wayne (IND/10),23,64,36,7.7,35
36,Dwayne Bowe (KC/6),29,54,37.7,5.5,38
37,Rueben Randle (NYG/8),24,53,38.5,7.2,44
38,Sammy Watkins (BUF/9),25,90,39.5,11,33
39,Cecil Shorts (JAC/11),21,66,39.6,8.5,42
40,Mike Evans (TB/7),30,91,42,10.3,39
41,Riley Cooper (PHI/7),31,69,43.7,6.8,37
42,Marvin Jones (CIN/4),31,65,44.5,7.8,49
43,Anquan Boldin (SF/8),34,69,45.1,7.3,40
44,Brandin Cooks (NO/6),26,92,46.7,12.2,41
45,DeAndre Hopkins (HOU/10),36,58,46,6.1,46
46,Hakeem Nicks (IND/10),22,70,46.5,10.1,43
47,Tavon Austin (STL/4),33,59,48.1,6.4,45
48,Brian Hartline (MIA/5),32,79,49.1,8.9,60
49,James Jones (OAK/5),30,62,48.9,8.8,51
50,Kenny Stills (NO/6),33,67,50.4,8.1,52
51,Greg Jennings (MIN/10),29,65,49.4,8.1,55
52,Justin Hunter (TEN/9),38,75,52.3,8.1,54
53,Jarrett Boykin (GB/9),35,76,53,9.3,56
54,Aaron Dobson (NE/10),28,74,52.6,9.5,59
55,Kelvin Benjamin (CAR/12),33,93,53.6,10.6,50
56,Danny Amendola (NE/10),39,81,54.9,9.4,48
57,Markus Wheaton (PIT/12),37,75,56,8.6,66
58,Steve Smith (BAL/11),36,71,56.4,8.9,53
59,Doug Baldwin (SEA/4),32,84,57.9,10.6,58
60,Jordan Matthews (PHI/7),44,83,58.1,8.7,61
61,Robert Woods (BUF/9),46,80,60.7,7.3,74
62,Harry Douglas (ATL/9),42,101,64.1,11.7,67
63,Odell Beckham Jr. (NYG/8),41,94,64.7,11.2,57
64,Andrew Hawkins (CLE/4),44,93,64.1,10.2,71
65,Steve Johnson (SF/8),46,93,69.8,14.3,64
66,Kenny Britt (STL/4),29,113,67.9,14.8,72
67,Josh Gordon (CLE/4),42,146,67.8,27.6,47
68,Rod Streater (OAK/5),47,79,64,7.3,73
69,Jerricho Cotchery (CAR/12),45,112,70.9,13.9,65
70,Marqise Lee (JAC/11),49,74,64.2,6.5,70
71,Kenbrell Thompkins (NE/10),38,98,76.8,16.2,
72,Malcom Floyd (SD/10),54,104,71.2,13.5,75
73,Mike Williams (BUF/9),51,91,67.4,9.5,
74,Lance Moore (PIT/12),43,105,77.4,12.8,
75,Chris Givens (STL/4),42,98,77.9,11,
76,Justin Blackmon (JAC/11),43,100,82,22.9,
