Rank,Player
1,Antonio Brown,PIT, 11
2,Dez Bryant,DAL, 6
3,Demaryius Thomas,DEN, 7
4,Julio Jones,ATL, 10
5,Odell Beckham Jr.,NYG, 11
6,Calvin Johnson,DET, 9
7,A.J. Green,CIN, 7
8,Randall Cobb,GB, 7
9,Alshon Jeffery,CHI, 7
10,Mike Evans,TB, 6
11,T.Y. Hilton,IND, 10
12,DeAndre Hopkins,HOU, 9
13,Brandin Cooks,NO, 11
14,Jordan Matthews,PHI, 8
15,Emmanuel Sanders,DEN, 7
16,Andre Johnson,IND, 10
17,Keenan Allen,SD, 10
18,Amari Cooper,OAK, 6
19,Brandon Marshall,NYJ, 5
20,Julian Edelman,NE, 4
21,DeSean Jackson,WAS, 8
22,Golden Tate,DET, 9
23,Sammy Watkins,BUF, 8
24,Davante Adams,GB, 7
25,Jeremy Maclin,KC, 9
26,Allen Robinson,JAC, 8
27,Vincent Jackson,TB, 6
28,Jarvis Landry,MIA, 5
29,Roddy White,ATL, 10
30,Larry Fitzgerald,ARI, 9
31,Nelson Agholor,PHI, 8
32,Mike Wallace,MIN, 5
33,Eric Decker,NYJ, 5
34,Steve Smith,BAL, 9
35,Martavis Bryant,PIT, 11
36,Charles Johnson,MIN, 5
37,Anquan Boldin,SF, 10
38,John Brown,ARI, 9
39,Torrey Smith,SF, 10
40,Brandon LaFell,NE, 4
41,Marques Colston,NO, 11
42,Pierre Garcon,WAS, 8
43,Michael Floyd,ARI, 9
44,Devin Funchess,CAR, 5
45,Kendall Wright,TEN, 4
46,Breshad Perriman,BAL, 9
47,Victor Cruz,NYG, 11
48,Brian Quick,STL, 6
49,Eddie Royal,CHI, 7
50,Terrance Williams,DAL, 6
51,Steve Johnson,SD, 10
52,Markus Wheaton,PIT, 11
53,Kenny Stills,MIA, 5
54,Devante Parker,MIA, 5
55,Rueben Randle,NYG, 11
56,Marvin Jones,CIN, 7
57,Michael Crabtree,OAK, 6
58,Doug Baldwin,SEA, 9
59,Percy Harvin,BUF, 8
60,Dwayne Bowe,CLE, 11
61,Kevin White,CHI, 7
62,Malcom Floyd,SD, 10
63,Cody Latimer,DEN, 7
64,Dorial Green-Beckham,TEN, 4
65,Kenny Britt,STL, 6
66,Brandon Coleman,NO, 11
67,Phillip Dorsett,IND, 10
68,Allen Hurns,JAC, 8
69,Ty Montgomery,GB, 7
70,Jeff Janis,GB, 7
71,Donte Moncrief,IND, 10
72,Stedman Bailey,STL, 6
73,Jerricho Cotchery,CAR, 5
74,Cecil Shorts,HOU, 9
75,Andrew Hawkins,CLE, 11
76,Marquess Wilson,CHI, 7
77,Leonard Hankerson,ATL, 10
78,Brian Hartline,CLE, 11
79,Marqise Lee,JAC, 8
80,Philly Brown,CAR, 5
81,Kamar Aiken,BAL, 9
82,Cole Beasley,DAL, 6
83,Hakeem Nicks,TEN, 4
84,Josh Huff,PHI, 8
85,Tyler Lockett,SEA, 9
86,Reggie Wayne,NE, 4
87,Mohamed Sanu,CIN, 7
88,Danny Amendola,NE, 4
89,Nate Washington,HOU, 9
90,Jaelen Strong,HOU, 9
91,Devin Smith,NYJ, 5
92,Taylor Gabriel,CLE, 11
93,Harry Douglas,TEN, 4
94,Albert Wilson,KC, 9
95,Justin Hunter,TEN, 4
96,Greg Jennings,MIA, 5
97,Nick Toon,NO, 11
98,Robert Woods,BUF, 8
99,Cordarrelle Patterson,MIN, 5
100,Jermaine Kearse,SEA, 9
101,Jarius Wright,MIN, 5
102,Marlon Brown,BAL, 9
103,Justin Hardy,ATL, 10
104,Rod Streater,OAK, 6
105,Chris Matthews,SEA, 9
106,Chris Conley,KC, 9
107,Andre Roberts,WAS, 8
108,Tavon Austin,STL, 6
109,Devin Hester,ATL, 10
110,Riley Cooper,PHI, 8
111,Sammie Coates,PIT, 11
112,Aaron Dobson,NE, 4
113,Andre Holmes,OAK, 6
114,Ricardo Lockette,SEA, 9
115,Terrelle Pryor,CLE, 11
116,Duron Carter,IND, 10
117,James Jones,NYG, 11
118,Louis Murphy,TB, 6
119,Michael Campanaro,BAL, 9
120,Dontrelle Inman,SD, 10
121,Jeremy Kerley,NYJ, 5
122,Wes Welker,FA,1
123,Jamison Crowder,WAS, 8
124,Jarrett Boykin,CAR, 5
125,Lance Moore,DET, 9
126,Corey Fuller,DET, 9
127,Joseph Morgan,NO, 11
128,Justin Blackmon,JAC, 8
129,Ted Ginn,CAR, 5
130,Rashad Greene,JAC, 8
131,Jaron Brown,ARI, 9
132,Chris Givens,STL, 6
133,De'Anthony Thomas,KC, 9
134,Miles Austin,PHI, 8
135,Jacoby Jones,SD, 10
136,Bruce Ellington,SF, 10
137,Jason Avant,KC, 9
138,Kenny Bell,TB, 6
139,Quinton Patton,SF, 10
140,DeAndre Smelter,SF, 10
141,Damaris Johnson,HOU, 9
142,Denarius Moore,CIN, 7
143,Jeremy Ross,DET, 9
144,Seantavius Jones,NO, 11
145,Vince Mayle,CLE, 11
146,Preston Parker,NYG, 11
147,Chris Hogan,BUF, 8
148,Rishard Matthews,MIA, 5
149,Corey Washington,NYG, 11
150,Paul Richardson,SEA, 9
151,Jerome Simpson,SF, 10
152,Ryan Grant,WAS, 8
153,Stefon Diggs,MIN, 5
154,Travis Benjamin,CLE, 11
155,Andre Caldwell,DEN, 7
156,Dwayne Harris,NYG, 11
157,Devin Street,DAL, 6
158,Quincy Enunwa,NYJ, 5
159,Kenbrell Thompkins,OAK, 6
160,Myles White,GB, 7
161,Marquise Goodwin,BUF, 8
162,DeVier Posey,NYJ, 5
163,Darren Waller,BAL, 9
164,Darrius Heyward-Bey,PIT, 11
165,Eric Weems,ATL, 10
166,Brice Butler,OAK, 6
167,DeAndre Carter,BAL, 9
168,Josh Bellamy,CHI, 7
169,Brandon Tate,CIN, 7
170,Jared Abbrederis,GB, 7
171,Josh Morgan,NO, 11
172,Keshawn Martin,HOU, 9
