Rank,Name,Team,Bye
1,Todd Gurley,LA,8
2,David Johnson,ARI,9
3,Adrian Peterson,MIN,6
4,Ezekiel Elliott,DAL,7
5,Lamar Miller,HOU,9
6,Jamaal Charles,KC,5
7,Le'Veon Bell,PIT,8
8,Mark Ingram,NO,5
9,Devonta Freeman,ATL,11
10,Eddie Lacy,GB,4
11,Doug Martin,TB,6
12,LeSean McCoy,BUF,10
13,C.J. Anderson,DEN,11
14,Carlos Hyde,SF,8
15,Thomas Rawls,SEA,5
16,Latavius Murray,OAK,10
17,Matt Forte,NYJ,11
18,Jeremy Hill,CIN,9
19,Jonathan Stewart,CAR,7
20,DeMarco Murray,TEN,13
21,Ryan Mathews,PHI,4
22,Frank Gore,IND,10
23,Matt Jones,WAS,9
24,Jeremy Langford,CHI,9
25,Giovani Bernard,CIN,9
26,Melvin Gordon,SD,11
27,Duke Johnson,CLE,13
28,Arian Foster,MIA,8
29,Danny Woodhead,SD,11
30,Rashad Jennings,NYG,8
31,Ameer Abdullah,DET,10
32,Chris Ivory,JAC,5
33,Dion Lewis,NE,9
34,T.J. Yeldon,JAC,5
35,DeAngelo Williams,PIT,8
36,Jay Ajayi,MIA,8
37,Charles Sims,TB,6
38,Justin Forsett,BAL,8
39,Isaiah Crowell,CLE,13
40,LeGarrette Blount,NE,9
41,Derrick Henry,TEN,13
42,Tevin Coleman,ATL,11
43,Bilal Powell,NYJ,11
44,Theo Riddick,DET,10
45,Kenneth Dixon,BAL,8
46,Christine Michael,SEA,5
47,James White,NE,9
48,Javorius Allen,BAL,8
49,Jerick McKinnon,MIN,6
50,Jordan Howard,CHI,9
51,DeAndre Washington,OAK,10
52,Devontae Booker,DEN,11
53,Shane Vereen,NYG,8
54,Darren Sproles,PHI,4
55,James Starks,GB,4
56,C.J. Prosise,SEA,5
57,Spencer Ware,KC,5
58,Terrance West,BAL,8
59,Karlos Williams,FA,
60,Chris Johnson,ARI,9
61,Darren McFadden,DAL,7
62,Wendell Smallwood,PHI,4
63,Tim Hightower,NO,5
64,Paul Perkins,NYG,8
65,Alfred Morris,DAL,7
66,Charcandrick West,KC,5
67,Shaun Draughn,SF,8
68,Ronnie Hillman,DEN,11
69,Chris Thompson,WAS,9
70,Mike Gillislee,BUF,10
71,Lance Dunbar,DAL,7
72,Cameron Artis-Payne,CAR,7
73,Josh Ferguson,IND,10
74,Keith Marshall,WAS,9
75,Reggie Bush,BUF,10
76,Kenjon Barner,PHI,4
77,C.J. Spiller,NO,5
78,Zach Zenner,DET,10
79,Ka'Deem Carey,CHI,9
80,Kenyan Drake,MIA,8
81,Andre Ellington,ARI,9
82,David Cobb,TEN,13
83,Robert Turbin,IND,10
84,Khiry Robinson,NYJ,11
85,Jonathan Williams,BUF,10
86,Tyler Ervin,HOU,9
87,Robert Kelley,WAS,9
88,Mike Tolbert,CAR,7
89,Benny Cunningham,LA,8
90,Alfred Blue,HOU,9
91,Mike Davis,SF,8
92,Antonio Andrews,TEN,13
93,Terrell Watson,CLE,13
94,Stevan Ridley,DET,10
95,Andre Williams,NYG,8
96,Denard Robinson,JAC,5
97,Joique Bell,FA,1
98,Tre Mason,LA,8
99,Alex Collins,SEA,5
100,Branden Oliver,SD,11
101,Dexter McCluster,TEN,13
102,Jalen Richard,OAK,10
103,Jacquizz Rodgers,CHI,9
104,Orleans Darkwa,NYG,8
105,Travaris Cadet,NO,5
106,Trent Richardson,FA,
107,Jonathan Grimes,HOU,9
108,Knile Davis,KC,5
109,Jordan Todman,IND,10
110,Bishop Sankey,TEN,13
111,Damien Williams,MIA,8
112,Matt Asiata,MIN,6
113,Kelvin Taylor,SF,8
114,Tyler Gaffney,NE,9
115,Marcel Reece,OAK,10
116,Fozzy Whittaker,CAR,7
117,Donald Brown,NE,9
118,Roy Helu,FA,1
119,Lorenzo Taliaferro,BAL,8
120,Daniel Lasco,NO,5
121,Malcolm Brown,LA,8
122,Brandon Bolden,NE,9
123,Rex Burkhead,CIN,9
124,Fitzgerald Toussaint,PIT,8
125,Kyle Juszczyk,BAL,8
126,John Crockett,GB,4
127,Tyler Varga,FA,
128,Taiwan Jones,OAK,10
129,Terron Ward,ATL,11
130,Mike James,TB,6
131,Dwayne Washington,DET,10
132,Juwan Thompson,DEN,11
133,Patrick DiMarco,ATL,11
134,Zach Line,MIN,6
135,Daryl Richardson,PIT,8
136,Bruce Miller,SF,8
137,Darius Jackson,DAL,7
138,Aaron Ripkowski,GB,4
139,Kerwynn Williams,ARI,9
140,Stepfan Taylor,ARI,9
141,Glenn Winston,CLE,13
142,Cedric Peerman,CIN,9
143,Anthony Sherman,KC,5
144,Tommy Bohanon,NYJ,11
