Rank,Player,Team,Bye
1,Rob Gronkowski,NE,9
2,Jordan Reed,WAS,9
3,Greg Olsen,CAR,7
4,Travis Kelce,KC,5
5,Delanie Walker,TEN,13
6,Coby Fleener,NO,5
7,Gary Barnidge,CLE,13
8,Tyler Eifert,CIN,9
9,Julius Thomas,JAC,5
10,Zach Ertz,PHI,4
11,Antonio Gates,SD,11
12,Dwayne Allen,IND,10
13,Martellus Bennett,NE,9
14,Eric Ebron,DET,10
15,Jason Witten,DAL,7
16,Jimmy Graham,SEA,5
17,Zach Miller,CHI,9
18,Ladarius Green,PIT,8
19,Charles Clay,BUF,10
20,Clive Walford,OAK,10
21,Jared Cook,GB,4
22,Austin Seferian-Jenkins,TB,6
23,Jordan Cameron,MIA,8
24,Vance McDonald,SF,8
25,Will Tye,NYG,8
26,Kyle Rudolph,MIN,6
27,Benjamin Watson,BAL,8
28,Cameron Brate,TB,6
29,Richard Rodgers,GB,4
30,Tyler Higbee,LA,8
31,Jesse James,PIT,8
32,Virgil Green,DEN,11
33,Lance Kendricks,LA,8
34,Maxx Williams,BAL,8
35,Jace Amaro,NYJ,11
36,Austin Hooper,ATL,11
37,Jacob Tamme,ATL,11
38,Hunter Henry,SD,11
39,MyCole Pruitt,MIN,6
40,Jeff Heuerman,DEN,11
41,Luke Willson,SEA,5
42,Josh Hill,NO,5
43,Niles Paul,WAS,9
44,Ryan Griffin,HOU,9
45,Larry Donnell,NYG,8
46,Darren Fells,ARI,9
47,Mychal Rivera,OAK,10
48,Crockett Gillmore,BAL,8
49,Garrett Celek,SF,8
50,Brent Celek,PHI,4
51,Owen Daniels,FA,1
52,Vernon Davis,WAS,9
53,Dennis Pitta,BAL,8
54,Tyler Kroft,CIN,9
55,Blake Bell,SF,8
56,Garrett Graham,DEN,11
57,Dion Sims,MIA,8
58,Troy Niklas,ARI,9
59,Anthony Fasano,TEN,13
60,James O'Shaughnessy,KC,5
61,Jermaine Gresham,ARI,9
62,C.J. Fiedorowicz,HOU,9
63,Nick Vannett,SEA,5
64,Jack Doyle,IND,10
65,Jeff Cumberland,SD,11
66,Gavin Escobar,DAL,7
67,Brandon Pettigrew,DET,10
68,Marcedes Lewis,JAC,5
69,Ed Dickson,CAR,7
70,Chris Gragg,BUF,10
71,James Hanna,DAL,7
72,Rob Housler,CHI,9
73,Kellen Davis,NYJ,11
74,Michael Hoomanawanui,NO,5
75,Logan Paulsen,WAS,9
76,Rhett Ellison,MIN,6
77,Seth DeValve,CLE,13
78,Craig Stevens,TEN,13
79,Cooper Helfet,FA,1
80,Luke Stocker,TB,6
81,Jerell Adams,NYG,8
82,Demetrius Harris,KC,5
83,E.J. Bibbs,CLE,13
84,Levine Toilolo,ATL,11
85,Erik Swoope,IND,10
