Rank,Player,Team,Bye
1,Antonio Brown,PIT,8
2,Odell Beckham Jr.,NYG,8
3,Julio Jones,ATL,11
4,A.J. Green,CIN,9
5,DeAndre Hopkins,HOU,9
6,Dez Bryant,DAL,7
7,Allen Robinson,JAC,5
8,Jordy Nelson,GB,4
9,Mike Evans,TB,6
10,Brandon Marshall,NYJ,11
11,Alshon Jeffery,CHI,9
12,Keenan Allen,SD,11
13,Brandin Cooks,NO,5
14,Amari Cooper,OAK,10
15,T.Y. Hilton,IND,10
16,Sammy Watkins,BUF,10
17,Demaryius Thomas,DEN,11
18,Randall Cobb,GB,4
19,Jeremy Maclin,KC,5
20,Eric Decker,NYJ,11
21,Jarvis Landry,MIA,8
22,Julian Edelman,NE,9
23,Doug Baldwin,SEA,5
24,Golden Tate,DET,10
25,Kelvin Benjamin,CAR,7
26,Donte Moncrief,IND,10
27,Michael Floyd,ARI,9
28,John Brown,ARI,9
29,Larry Fitzgerald,ARI,9
30,Jordan Matthews,PHI,4
31,Emmanuel Sanders,DEN,11
32,Devante Parker,MIA,8
33,Allen Hurns,JAC,5
34,Tyler Lockett,SEA,5
35,Marvin Jones,DET,10
36,DeSean Jackson,WAS,9
37,Michael Crabtree,OAK,10
38,Kevin White,CHI,9
39,Sterling Shepard,NYG,8
40,Josh Gordon,CLE,13
41,Torrey Smith,SF,8
42,Corey Coleman,CLE,13
43,Willie Snead,NO,5
44,Stefon Diggs,MIN,6
45,Tavon Austin,LA,8
46,Travis Benjamin,SD,11
47,Vincent Jackson,TB,6
48,Kamar Aiken,BAL,8
49,Markus Wheaton,PIT,8
50,Devin Funchess,CAR,7
51,Steve Smith,BAL,8
52,Michael Thomas,NO,5
53,Laquon Treadwell,MIN,6
54,Phillip Dorsett,IND,10
55,Mohamed Sanu,ATL,11
56,Sammie Coates,PIT,8
57,Rishard Matthews,TEN,13
58,Dorial Green-Beckham,PHI,4
59,Mike Wallace,BAL,8
60,Terrance Williams,DAL,7
61,Kendall Wright,TEN,13
62,Bruce Ellington,SF,8
63,Tyler Boyd,CIN,9
64,Josh Doctson,WAS,9
65,Pierre Garcon,WAS,9
66,Chris Hogan,NE,9
67,Anquan Boldin,DET,10
68,Tajae Sharpe,TEN,13
69,Will Fuller,HOU,9
70,Nelson Agholor,PHI,4
71,Brandon LaFell,CIN,9
72,Mike Thomas,LA,8
73,Breshad Perriman,BAL,8
74,Charles Johnson,MIN,6
75,Ted Ginn,CAR,7
76,Seth Roberts,OAK,10
77,Malcolm Mitchell,NE,9
78,Jaelen Strong,HOU,9
79,Robert Woods,BUF,10
80,Kenny Britt,LA,8
81,Davante Adams,GB,4
82,Terrelle Pryor,CLE,13
83,Jamison Crowder,WAS,9
84,Jermaine Kearse,SEA,5
85,Andre Johnson,TEN,13
86,Brian Quick,LA,8
87,Victor Cruz,NYG,8
88,Justin Hardy,ATL,11
89,Jeff Janis,GB,4
90,Darrius Heyward-Bey,PIT,8
91,Pharoh Cooper,LA,8
92,Rueben Randle,PHI,4
93,Chris Conley,KC,5
94,Cole Beasley,DAL,7
95,Kenny Stills,MIA,8
96,TJ Jones,DET,10
97,Nate Washington,NE,9
98,Tyreek Hill,KC,5
99,Quinton Patton,SF,8
100,Dontrelle Inman,SD,11
101,Braxton Miller,HOU,9
102,Danny Amendola,NE,9
103,DeAndre Smelter,SF,8
104,Albert Wilson,KC,5
105,Leonte Carroo,MIA,8
106,Ty Montgomery,GB,4
107,Marques Colston,FA,1
108,Tyrell Williams,SD,11
109,Eddie Royal,CHI,9
110,Rashard Higgins,CLE,13
111,James Jones,SD,11
112,Brandon Coleman,NO,5
113,Eli Rogers,PIT,8
114,Devin Smith,NYJ,11
115,Roddy White,FA,1
116,J.J. Nelson,ARI,9
117,Cody Latimer,DEN,11
118,Philly Brown,CAR,7
119,Jared Abbrederis,GB,4
120,Marqise Lee,JAC,5
121,Jarius Wright,MIN,6
122,Rashad Greene,JAC,5
123,Jaron Brown,ARI,9
124,Cecil Shorts,HOU,9
125,Quincy Enunwa,NYJ,11
126,Andrew Hawkins,CLE,13
127,Dwayne Bowe,FA,1
128,Dezmin Lewis,BUF,10
129,Kenny Bell,TB,6
130,Dwayne Harris,NYG,8
131,Marquise Goodwin,BUF,10
132,Leonard Hankerson,FA,1
133,Brian Hartline,FA,1
134,Bennie Fowler,DEN,11
135,Adam Humphries,TB,6
136,Rod Streater,KC,5
137,Chris Givens,PHI,4
138,Cordarrelle Patterson,MIN,6
