Rank,Name,Team,Bye
1,Antonio Brown,PIT,9
2,Odell Beckham Jr.,NYG,8
3,Julio Jones,ATL,5
4,Mike Evans,TB,11
5,A.J. Green,CIN,6
6,Jordy Nelson,GB,8
7,T.Y. Hilton,IND,11
8,Michael Thomas,NO,5
9,Dez Bryant,DAL,6
10,Amari Cooper,OAK,10
11,Doug Baldwin,SEA,6
12,DeAndre Hopkins,HOU,7
13,Allen Robinson,JAC,8
14,Brandin Cooks,NE,9
15,Demaryius Thomas,DEN,5
16,Alshon Jeffery,PHI,10
17,Sammy Watkins,BUF,6
18,Davante Adams,GB,8
19,Terrelle Pryor,WAS,5
20,Keenan Allen,LAC,9
21,Michael Crabtree,OAK,10
22,Emmanuel Sanders,DEN,5
23,Golden Tate,DET,7
24,Jarvis Landry,MIA,11
25,Larry Fitzgerald,ARI,8
26,Julian Edelman,NE,9
27,Tyreek Hill,KC,10
28,Martavis Bryant,PIT,9
29,Donte Moncrief,IND,11
30,Willie Snead,NO,5
31,Stefon Diggs,MIN,9
32,Jamison Crowder,WAS,5
33,Brandon Marshall,NYG,8
34,Kelvin Benjamin,CAR,11
35,DeSean Jackson,TB,11
36,Pierre Garcon,SF,11
37,Eric Decker,TEN,8
38,Cameron Meredith,CHI,9
39,Devante Parker,MIA,11
40,Jeremy Maclin,BAL,10
41,Kenny Britt,CLE,9
42,Randall Cobb,GB,8
43,Corey Coleman,CLE,9
44,Mike Wallace,BAL,10
45,Corey Davis,TEN,8
46,Jordan Matthews,PHI,10
47,John Brown,ARI,8
48,Rishard Matthews,TEN,8
49,Adam Thielen,MIN,9
50,Quincy Enunwa,NYJ,11
51,Marvin Jones,DET,7
52,Tyrell Williams,LAC,9
53,Ted Ginn,NO,5
54,Josh Doctson,WAS,5
55,Breshad Perriman,BAL,10
56,Kenny Stills,MIA,11
57,Robert Woods,LAR,8
58,Mike Williams,LAC,9
59,Tyler Lockett,SEA,6
60,Sterling Shepard,NYG,8
61,Kevin White,CHI,9
62,John Ross,CIN,6
63,J.J. Nelson,ARI,8
64,Allen Hurns,JAC,8
65,Zay Jones,BUF,6
66,Will Fuller,HOU,7
67,Taylor Gabriel,ATL,5
68,Marqise Lee,JAC,8
69,Malcolm Mitchell,NE,9
70,Cole Beasley,DAL,6
71,Tavon Austin,LAR,8
72,Devin Funchess,CAR,11
73,Brandon LaFell,CIN,6
74,Robby Anderson,NYJ,11
75,Mohamed Sanu,ATL,5
76,Cooper Kupp,LAR,8
77,Kendall Wright,CHI,9
78,Eli Rogers,PIT,9
79,Tyler Boyd,CIN,6
80,Terrance Williams,DAL,6
81,Chris Hogan,NE,9
82,Chris Conley,KC,10
83,Curtis Samuel,CAR,11
84,ArDarius Stewart,NYJ,11
85,Torrey Smith,PHI,10
86,JuJu Smith-Schuster,PIT,9
87,Laquon Treadwell,MIN,9
88,Paul Richardson,SEA,6
89,Kamar Aiken,IND,11
90,Andre Holmes,BUF,6
91,Tajae Sharpe,TEN,8
92,Kenny Golladay,DET,7
93,Michael Floyd,MIN,9
94,Travis Benjamin,LAC,9
95,Jeremy Kerley,SF,11
96,Josh Gordon,CLE,9
97,Chad Williams,ARI,8
98,Braxton Miller,HOU,7
99,Brandon Coleman,NO,5
100,Josh Reynolds,LAR,8
101,Jaron Brown,ARI,8
102,Darrius Heyward-Bey,PIT,9
103,Adam Humphries,TB,11
104,Aldrick Robinson,SF,11
105,Albert Wilson,KC,10
106,Dontrelle Inman,LAC,9
107,Markus Wheaton,CHI,9
108,Phillip Dorsett,IND,11
109,Taywan Taylor,TEN,8
110,Marquise Goodwin,SF,11
111,Seth Roberts,OAK,10
112,Carlos Henderson,DEN,5
113,Chris Godwin,TB,11
114,Rashard Higgins,CLE,9
115,Dorial Green-Beckham,FA,1
116,Jermaine Kearse,SEA,6
117,Leonte Carroo,MIA,11
118,Pharoh Cooper,LAR,8
119,Nelson Agholor,PHI,10
120,Brian Quick,WAS,5
121,Cordarrelle Patterson,OAK,10
122,Vincent Jackson,FA,1
123,Bruce Ellington,SF,11
124,Sammie Coates,PIT,9
125,Michael Campanaro,BAL,10
126,Anquan Boldin,FA,1
127,Charone Peake,NYJ,11
128,Philly Brown,BUF,6
129,Jaelen Strong,HOU,7
130,Victor Cruz,CHI,9
131,TJ Jones,DET,7
132,Stevie Johnson,FA,1
133,Brice Butler,DAL,6
134,Chris Moore,BAL,10
135,Demarcus Robinson,KC,10
136,Mike Thomas,LAR,8
137,Danny Amendola,NE,9
138,Charles Johnson,CAR,11
139,Ricardo Louis,CLE,9
140,Chad Hansen,NYJ,11
141,Rueben Randle,CHI,9
142,Geronimo Allison,GB,8
143,Jehu Chesson,KC,10
144,Jeff Janis,GB,8
145,Jarius Wright,MIN,9
146,Chris Matthews,BAL,10
147,Dede Westbrook,JAC,8
148,Justin Hardy,ATL,5
149,Harry Douglas,TEN,8
150,Ryan Switzer,DAL,6
151,Chester Rogers,IND,11
152,Corey Fuller,NO,5
153,Bryan Walters,FA,1
154,Ryan Grant,WAS,5
155,Andrew Hawkins,NE,9
156,Walter Powell,BUF,6
157,Russell Shepard,CAR,11
158,Rashad Greene,JAC,8
159,Andre Roberts,ATL,5
160,Bennie Fowler,DEN,5
161,Ishmael Zamora,OAK,10
162,Jared Abbrederis,DET,7
163,Kenny Bell,BAL,10
164,Roger Lewis,NYG,8
165,Mario Alford,CLE,9
166,Deonte Thompson,CHI,9
167,Robert Davis,WAS,5
168,DeAngelo Yancey,GB,8
169,Keith Mumphery,FA,1
170,Amara Darboh,SEA,6
171,Brittan Golden,ARI,8
172,Trent Taylor,SF,11
173,Isaiah Ford,MIA,11
174,Cobi Hamilton,PIT,9
175,Cody Core,CIN,6
176,Justin Hunter,PIT,9
177,Quinton Patton,NYJ,11
178,Mack Hollins,PHI,10
179,Jordan Payton,CLE,9
180,Cody Latimer,DEN,5
181,Shelton Gibson,PHI,10
182,Tommylee Lewis,NO,5
183,Freddie Martino,TB,11
184,Nick Williams,ATL,5
185,Jordan Taylor,DEN,5
186,Brenton Bersin,CAR,11
187,Josh Bellamy,CHI,9
188,Noah Brown,DAL,6
189,Eddie Royal,FA,1
190,DeAndre Smelter,SF,11
191,Brandon Tate,BUF,6
192,Aaron Burbridge,SF,11
193,Wendall Williams,HOU,7
194,Lucky Whitehead,DAL,6
195,Arrelious Benn,JAC,8
196,Dwayne Harris,NYG,8
197,Bradley Marquez,LAR,8
198,Josh Huff,TB,11
199,Jeremy Ross,ARI,8
200,Keshawn Martin,DET,7
201,Jalin Marshall,NYJ,11
202,Jakeem Grant,MIA,11
203,Tre McBride,TEN,8
204,Josh Malone,CIN,6
205,Marquess Wilson,NYJ,11
206,Alex Erickson,CIN,6
207,Daniel Braverman,CHI,9
