Rank,Player,Team,Bye
1,Aaron Rodgers,GB,7
2,Russell Wilson,SEA,7
3,Tom Brady,NE,11
4,Cam Newton,CAR,4
5,Deshaun Watson,HOU,10
6,Drew Brees,NO,6
7,Carson Wentz,PHI,9
8,Kirk Cousins,MIN,10
9,Matthew Stafford,DET,6
10,Ben Roethlisberger,PIT,7
11,Andrew Luck,IND,9
12,Philip Rivers,LAC,8
13,Jimmy Garoppolo,SF,11
14,Matt Ryan,ATL,8
15,Jared Goff,LAR,12
16,Patrick Mahomes,KC,12
17,Marcus Mariota,TEN,8
18,Alex Smith,WAS,4
19,Dak Prescott,DAL,8
20,Mitch Trubisky,CHI,5
21,Derek Carr,OAK,7
22,Blake Bortles,JAC,9
23,Eli Manning,NYG,9
24,Case Keenum,DEN,10
25,Andy Dalton,CIN,9
26,Jameis Winston,TB,5
27,Tyrod Taylor,CLE,11
28,Ryan Tannehill,MIA,11
29,Sam Bradford,ARI,9
30,Joe Flacco,BAL,10
31,Josh McCown,NYJ,11
32,Josh Rosen,ARI,9
33,Baker Mayfield,CLE,11
34,Sam Darnold,NYJ,11
35,Lamar Jackson,BAL,10
36,Josh Allen,BUF,11
37,AJ McCarron,BUF,11
38,Ryan Fitzpatrick,TB,5
39,Nick Foles,PHI,9
40,Teddy Bridgewater,NYJ,11
41,Jacoby Brissett,IND,9
42,Nathan Peterman,BUF,11
43,DeShone Kizer,GB,7
44,Blaine Gabbert,TEN,8
45,Colt McCoy,WAS,4
46,Paxton Lynch,DEN,10
47,Mason Rudolph,PIT,7
48,Brian Hoyer,NE,11
49,Chad Henne,KC,12
50,Brock Osweiler,MIA,11
51,Cody Kessler,JAC,9
52,Chase Daniel,CHI,5
53,Trevor Siemian,MIN,10
54,C.J. Beathard,SF,11
55,Davis Webb,NYG,9
56,Sean Mannion,LAR,12
57,Austin Davis,SEA,7
58,Matt Barkley,CIN,9
59,Connor Cook,OAK,7
60,Matt Schaub,ATL,8
61,Landry Jones,PIT,7
62,Tom Savage,NO,6
63,Brandon Weeden,HOU,10
64,Chad Kelly,DEN,10
65,Mike Glennon,ARI,9
66,Jake Rudock,DET,6
67,Cooper Rush,DAL,8
68,Brett Hundley,GB,7
69,Drew Stanton,CLE,11
70,Geno Smith,LAC,8
71,Cardale Jones,LAC,8
72,Taylor Heinicke,CAR,4
73,Matt Cassel,DET,6
74,Robert Griffin,BAL,10
75,Mike White,DAL,8
76,Bryce Petty,MIA,11
77,EJ Manuel,OAK,7
78,Joe Webb,HOU,10
79,Brandon Allen,LAR,12
80,Garrett Gilbert,CAR,4
81,Brad Kaaya,IND,9
82,Tyler Bray,CHI,5
83,Matt McGloin,KC,12
84,Kevin Hogan,WAS,4
85,Kyle Lauletta,NYG,9
86,J.T. Barrett,NO,6
87,Luke Falk,TEN,8
88,Kyle Sloter,MIN,10
89,Joe Callahan,PHI,9
90,Alex McGough,SEA,7
91,Ryan Griffin,TB,5
