Rank,Name,Team,Bye
1,Rob Gronkowski,NE,11
2,Travis Kelce,KC,12
3,Zach Ertz,PHI,9
4,Greg Olsen,CAR,4
5,Delanie Walker,TEN,8
6,Jimmy Graham,GB,7
7,Kyle Rudolph,MIN,10
8,Evan Engram,NYG,9
9,Trey Burton,CHI,5
10,Jack Doyle,IND,9
11,Jordan Reed,WAS,4
12,George Kittle,SF,11
13,David Njoku,CLE,11
14,O.J. Howard,TB,5
15,Austin Seferian-Jenkins,JAC,9
16,Tyler Eifert,CIN,9
17,Charles Clay,BUF,11
18,Benjamin Watson,NO,6
19,Jared Cook,OAK,7
20,Cameron Brate,TB,5
21,Ricky Seals-Jones,ARI,9
22,Austin Hooper,ATL,8
23,Vance McDonald,PIT,7
24,Eric Ebron,IND,9
25,Virgil Green,LAC,8
26,Mike Gesicki,MIA,11
27,Hayden Hurst,BAL,10
28,Jake Butt,DEN,10
29,Blake Jarwin,DAL,8
30,Tyler Kroft,CIN,9
