Rank,Player,Bye,Best,Worst,Ave,Std Dev,ADP
1,Antonio Brown PIT ,7,1,2,1.1,0.3,1
2,DeAndre Hopkins HOU ,10,1,7,2.4,1.2,2
3,Odell Beckham Jr. NYG ,9,2,4,3.2,0.7,3
4,Julio Jones ATL ,8,2,7,4,1.2,4
5,Michael Thomas NO ,6,3,8,5.1,1.2,5
6,Keenan Allen LAC ,8,4,10,6.6,1.3,6
7,A.J. Green CIN ,9,4,8,6.8,1.1,8
8,Davante Adams GB ,7,5,9,7.1,1.1,7
9,Mike Evans TB ,5,6,18,10.5,2.3,9
10,T.Y. Hilton IND ,9,8,27,11.7,3.3,13
11,Doug Baldwin SEA ,7,9,25,11.8,3.6,12
12,Adam Thielen MIN ,10,9,25,13.4,3.4,10
13,Stefon Diggs MIN ,10,10,26,14.2,3,14
14,Tyreek Hill KC ,12,9,26,14.7,4,11
15,Amari Cooper OAK ,7,9,25,16.6,3.9,15
16,Allen Robinson CHI ,5,9,28,16.8,3.7,19
17,Larry Fitzgerald ARI ,9,10,26,17.5,3.1,18
18,Alshon Jeffery PHI ,9,11,26,17.6,3.6,22
19,Demaryius Thomas DEN ,10,11,25,18.6,3.2,20
20,JuJu Smith-Schuster PIT ,7,12,38,20.6,5,16
21,Marvin Jones DET ,6,9,35,21.1,5,25
22,Josh Gordon CLE ,11,11,39,22.2,6.1,17
23,Brandin Cooks LAR ,12,10,35,22.6,5.2,21
24,Golden Tate DET ,6,16,32,22.8,2.8,23
25,Sammy Watkins KC ,12,13,39,27.6,4.8,29
26,Chris Hogan NE ,11,19,42,28.2,6.2,30
27,Michael Crabtree BAL ,10,16,47,28.3,5.7,26
28,Jarvis Landry CLE ,11,17,49,28.5,6.2,24
29,Corey Davis TEN ,8,22,49,30,5.4,27
30,Pierre Garcon SF ,11,22,43,31.7,4.4,34
31,Robert Woods LAR ,12,22,44,31.7,4.7,33
32,Emmanuel Sanders DEN ,10,25,53,32.5,6.8,36
33,Devin Funchess CAR ,4,21,50,32.8,6.6,31
34,Robby Anderson NYJ ,11,15,55,33.9,6.4,42
35,Cooper Kupp LAR ,12,18,46,35.8,4.5,35
36,Randall Cobb GB ,7,26,56,37.7,7,37
37,Jamison Crowder WAS ,4,23,57,38.9,7.2,38
38,Marquise Goodwin SF ,11,23,56,39.2,7.1,41
39,Will Fuller HOU ,10,26,53,39.4,5.2,28
40,Devante Parker MIA ,11,26,60,39.5,6.3,39
41,Julian Edelman NE S ,11,26,68,42.8,9.4,32
42,Kenny Stills MIA ,11,31,71,43.5,8.8,52
43,Nelson Agholor PHI ,9,26,60,43.1,5.5,43
44,Sterling Shepard NYG ,9,32,61,43.4,5.7,44
45,Kelvin Benjamin BUF ,11,30,65,44.1,5.8,48
46,Rishard Matthews TEN ,8,30,63,45.2,6.3,53
47,Jordy Nelson OAK ,7,23,61,45.1,8.4,40
48,Allen Hurns DAL ,8,28,67,47.7,7.8,45
49,Marqise Lee JAC IR ,9,36,74,48.7,6.9,50
50,Josh Doctson WAS ,4,37,86,52.5,9.2,57
51,Kenny Golladay DET ,6,39,75,52.3,6.7,51
52,DeSean Jackson TB ,5,39,76,53,7.4,59
53,D.J. Moore CAR ,4,33,74,54.5,8.6,47
54,Cameron Meredith NO ,6,44,90,57.1,8.5,56
55,Dez Bryant FA ,,38,113,61.3,19.3,49
56,Tyler Lockett SEA ,7,38,78,58.8,8.4,64
57,Paul Richardson WAS ,4,41,93,59.4,8.6,63
58,Mohamed Sanu ATL ,8,46,76,59.2,6.7,62
59,Tyrell Williams LAC ,8,35,85,62.2,10.2,69
60,Ted Ginn NO ,6,34,84,61.1,8.7,67
61,Mike Williams LAC ,8,44,81,62.8,9,54
62,Dede Westbrook JAC ,9,38,87,64.6,11.9,66
63,Calvin Ridley ATL ,8,42,84,61.4,8,46
64,Anthony Miller CHI ,5,42,99,64.7,12.7,60
65,Michael Gallup DAL ,8,48,99,65.4,9.7,58
66,Martavis Bryant OAK ,7,45,93,65.4,9.7,55
67,Chris Godwin TB ,5,37,91,68,10.1,79
68,Donte Moncrief JAC ,9,34,101,68.7,10.2,75
69,Quincy Enunwa NYJ ,11,48,102,70.8,10.5,72
70,Keelan Cole JAC ,9,52,104,72.3,12.2,73
71,John Brown BAL ,10,47,88,69.1,8.4,81
72,Christian Kirk ARI ,9,41,110,74.5,12.6,61
73,Corey Coleman CLE ,11,52,133,77.8,16.9,85
74,Terrance Williams DAL ,8,50,120,79.7,12.8,87
75,Jordan Matthews NE ,11,52,141,76.5,19.2,65
76,Mike Wallace PHI ,9,52,86,70.8,7.3,78
77,Geronimo Allison GB ,7,54,103,74.4,11,68
78,Cole Beasley DAL ,8,49,107,82.3,13.7,77
79,Jermaine Kearse NYJ ,11,54,101,73.9,10.8,96
80,Danny Amendola MIA ,11,54,112,77.7,10.6,71
81,Brandon Marshall SEA ,7,58,120,86.2,15.6,84
82,Ryan Grant IND ,9,55,104,81.7,12.5,92
83,Chester Rogers IND ,9,52,105,89.4,11.9,105
84,Jaron Brown SEA ,7,52,112,95.7,12.7,122
85,Terrelle Pryor NYJ ,11,53,104,81.2,10.3,86
86,Brice Butler ARI ,9,56,112,90.5,12.4,116
87,Taywan Taylor TEN ,8,59,114,85.2,12.1,104
88,James Washington PIT ,7,60,99,81.3,10,76
89,John Ross CIN ,9,60,109,86.4,11.3,80
90,Albert Wilson MIA ,11,62,99,78.6,10.3,88
91,Zay Jones BUF ,11,63,104,85.1,8.9,97
92,Courtland Sutton DEN ,10,63,109,85.6,9.7,70
93,Dante Pettis SF ,11,62,103,85.8,9.2,93
94,Travis Benjamin LAC ,8,66,112,88,13.4,94
95,Willie Snead BAL ,10,64,100,88.1,8.8,91
96,Taylor Gabriel CHI ,5,70,99,88.6,7.3,118
97,Trent Taylor SF ,11,68,111,88.8,10.2,95
98,J.J. Nelson ARI ,9,63,108,90,9.2,102
99,Brandon LaFell CIN ,9,68,111,90.5,11.3,121
100,Chad Williams ARI ,9,78,120,95.2,11.5,107
101,Jeremy Maclin FA ,,61,147,95.8,18.2,101
102,Torrey Smith CAR ,4,78,121,96.1,10.4,108
103,Kendall Wright MIN ,10,74,114,96.5,8.7,123
104,Tavon Austin DAL ,8,76,145,98,14.8,89
105,Curtis Samuel CAR ,4,61,124,98.2,13.7,109
106,Keke Coutee HOU ,10,75,131,100.3,14.6,98
107,Dontrelle Inman FA ,,83,148,100.6,20,
108,Adam Humphries TB ,5,74,131,102.2,13,117
109,Tyler Boyd CIN ,9,86,117,102.2,8.6,119
110,Tre'Quan Smith NO ,6,73,124,103.3,13.4,90
111,Jakeem Grant MIA ,11,66,159,103.9,18.5,
112,J'Mon Moore GB ,7,67,152,103.9,22.3,112
113,Eric Decker FA ,,78,144,104.2,17.7,103
114,Kevin White CHI ,5,70,135,104.4,15,99
115,Equanimeous St. Brown GB ,7,83,156,104.9,18.7,120
116,Kenny Britt NE ,11,76,150,105.2,18.5,
117,Amara Darboh SEA ,7,86,128,106.1,10.9,
118,Deon Cain IND ,9,75,137,107.1,17.5,100
119,Jeremy Kerley BUF ,11,83,151,107.1,17,
120,Laquon Treadwell MIN ,10,76,136,107.8,16,110
121,D.J. Chark JAC ,9,83,140,108.1,12.7,74
122,Malcolm Mitchell NE ,11,68,219,108.4,29.8,83
123,Antonio Callaway CLE ,11,72,139,109.8,21.4,82
124,Chris Conley KC ,12,90,126,109.9,11,
125,DaeSean Hamilton DEN ,10,86,181,112.3,25.3,106
126,Demarcus Robinson KC ,12,89,137,113.4,17.1,
127,Seth Roberts OAK ,7,99,141,113.5,14,126
128,Carlos Henderson DEN ,10,100,148,113.9,15.8,
129,Roger Lewis NYG ,9,95,142,114.4,13,
130,Josh Reynolds LAR ,12,76,149,115.2,18.1,114
131,Brandon Coleman NO ,6,93,133,116.7,14.6,
132,Mack Hollins PHI ,9,101,150,118.1,12.6,
133,Cordarrelle Patterson NE ,11,91,158,118.1,19,113
134,Bruce Ellington HOU ,10,112,123,118.2,4.4,
135,Chris Moore BAL ,10,107,145,120,12.6,
136,Breshad Perriman BAL ,10,98,153,120.9,17.1,
137,Andre Holmes BUF ,11,99,156,121.9,16,
138,Cody Latimer NYG ,9,95,142,123.8,14.4,127
139,Braxton Miller HOU ,10,113,146,125.9,10.2,
140,Aldrick Robinson SF ,11,111,140,126.5,10.5,
141,TJ Jones DET ,6,107,174,127.4,24.3,
142,Phillip Dorsett NE ,11,70,169,129,29.1,
143,Kendrick Bourne SF ,11,88,152,129.4,23.1,
144,Marcell Ateman OAK ,7,92,171,131.4,34.7,
145,Deonte Thompson DAL ,8,126,138,132.8,4.7,124
146,ArDarius Stewart NYJ S ,11,99,182,133.2,28.9,
147,Jaleel Scott BAL ,10,125,143,133.8,7.5,
148,Jordan Lasley BAL ,10,129,142,136.8,4.8,111
149,Chad Hansen NYJ ,11,107,154,137.5,16.7,
150,Johnny Holton OAK ,7,123,149,139.7,11.8,
151,Jarius Wright CAR ,4,114,161,142,20.2,
152,Ryan Switzer OAK ,7,112,170,142.3,22.7,
153,Justin Hardy ATL ,8,119,198,145.3,31,
154,Tajae Sharpe TEN ,8,125,170,145.6,16.4,
155,Jaydon Mickens JAC ,9,132,172,145.7,18.6,
156,Michael Campanaro TEN ,8,119,179,147.8,21.3,
157,Darrius Heyward-Bey PIT ,7,139,161,147.8,8.7,
158,Geremy Davis LAC ,8,119,170,148.3,21.5,
159,Rashard Higgins CLE ,11,143,153,149.3,4.5,
160,Maurice Harris WAS ,4,134,165,149.5,15.5,
161,Justin Watson TB ,5,137,160,151.3,9.3,
162,Daurice Fountain IND ,9,136,172,151.5,13,
163,Josh Malone CIN ,9,151,154,152.7,1.2,
164,Braxton Berrios NE ,11,117,192,154.5,37.5,
165,Rod Streater BUF ,11,132,189,155.5,20.9,
166,Simmie Cobbs Jr. WAS ,4,126,189,157.5,31.5,115
167,Bennie Fowler CHI ,5,148,163,158,7.1,125
168,Justin Hunter PIT ,7,142,173,159.5,11.1,
169,Trevor Davis GB ,7,118,197,160.5,31.6,
170,Leonte Carroo MIA ,11,157,165,161.3,3.3,
171,Kasen Williams IND ,9,146,178,162,16,
172,Nick Williams TEN ,8,156,168,162,6,
173,Sammie Coates HOU ,10,142,178,163,14,
174,Travis Rudolph NYG ,9,127,205,163.3,29.5,
175,Ray-Ray McCloud BUF ,11,137,191,164,27,
176,Richie James SF ,11,146,183,164.5,18.5,
177,Marvin Hall ATL ,8,155,174,164.5,9.5,
178,Brian Quick WAS ,4,162,169,165.5,2.7,
179,Auden Tate CIN ,9,128,239,166.5,42.8,
180,Marquez Valdes-Scantling GB ,7,165,169,167,2,
181,Trey Quinn WAS ,4,152,188,167.7,15.1,
182,Tommylee Lewis NO ,6,144,194,168.8,17.8,
183,Freddie Martino TB ,5,167,171,169,2,
184,Tavarres King MIN ,10,144,203,170,22,
185,Kaelin Clay BUF ,11,160,180,170,10,
186,Pharoh Cooper LAR ,12,155,183,170.3,10.7,
187,Andy Jones DET ,6,145,193,170.7,19.7,
188,Russell Shepard NYG ,9,158,190,170.7,13.9,
189,De'Anthony Thomas KC ,12,126,208,171,34,
190,Markus Wheaton PHI ,9,148,187,171.7,17,
191,Alex Erickson CIN ,9,166,185,172.3,9,
192,Andre Roberts NYJ ,11,169,177,172.7,3.3,
193,Tanner McEvoy SEA ,7,159,195,174.5,13,
194,Jordan Taylor DEN ,10,161,192,174.8,12.5,
195,Mike Thomas LAR ,12,167,186,176,7.8,
196,Josh Bellamy CHI ,5,140,245,177.3,40.2,
197,Noah Brown DAL ,8,158,205,177.7,19.9,
198,Jace Billingsley DET ,6,154,204,179,25,
199,Stacy Coley MIN ,10,155,203,179,24,
200,Cody Core CIN ,9,163,206,182,17.9,
201,Damiere Byrd CAR ,4,178,188,183,5,
202,Charone Peake NYJ ,11,182,185,183.5,1.5,
203,Cedrick Wilson DAL ,8,143,232,184.3,31.7,128
204,Russell Gage ATL ,8,168,199,186,13.1,
205,Shelton Gibson PHI ,9,174,194,186,8.6,
206,Jehu Chesson KC ,12,186,187,186.5,0.5,
207,Marcus Johnson SEA ,7,175,199,187,12,
208,Ricardo Louis CLE ,11,157,220,188.5,31.5,
209,Krishawn Hogan IND ,9,181,198,189.5,8.5,
210,Dylan Cantrell LAC ,8,150,230,190,40,
211,Quincy Adeboyejo BAL ,10,162,210,193.3,22.2,
212,Tanner Gentry CHI ,5,180,204,193.7,10.1,
213,Jeff Janis CLE ,11,167,235,195.3,28.9,
214,Artavis Scott LAC ,8,164,231,197.5,33.5,
215,Bobo Wilson TB ,5,176,226,201,25,
216,Damion Ratley CLE ,11,176,233,204.5,28.5,
217,Austin Carr NO ,6,182,227,204.5,22.5,
218,Austin Proehl BUF ,11,193,221,207,14,
219,Devin Smith NYJ ,11,201,213,207,6,
220,David Moore SEA ,7,196,224,210,14,
221,K.J. Brent IND ,9,172,253,212.5,40.5,
222,Marquess Wilson PHI ,9,168,261,214.5,46.5,
223,Aaron Burbridge SF ,11,207,225,216,9,
224,DeAngelo Yancey GB ,7,209,234,221.5,12.5,
225,Bradley Marquez DET ,6,206,240,223,17,
