profile_id,year,week,position,passing_completions,passing_attemps,passing_yards,passing_touchdowns,interceptions,rushing_attemps,rushing_yards,rushing_touchdowns,receiving_yards,receptions,receiving_touchdowns,fumbles_lost
310,2018,1,QB,21,43,251,0,1,2,8,0,0,0,0,0
310,2018,2,QB,23,28,272,2,1,4,18,2,0,0,0,0
310,2018,3,QB,26,35,374,5,0,4,12,0,0,0,0,0
310,2018,4,QB,29,39,419,3,0,2,5,0,0,0,0,0
310,2018,5,QB,26,38,285,1,0,1,10,0,0,0,0,1
310,2018,6,QB,31,41,355,3,0,1,13,0,0,0,0,0
310,2018,7,QB,31,39,379,1,0,2,1,0,0,0,0,0
310,2018,9,QB,26,38,350,4,1,0,0,0,0,0,0,0
310,2018,10,QB,38,52,330,2,0,3,13,0,0,0,0,1
310,2018,11,QB,24,34,291,1,1,1,1,0,0,0,0,0
310,2018,12,QB,35,47,377,2,1,2,16,0,0,0,0,1
310,2018,13,QB,16,26,131,1,0,2,4,0,0,0,0,1
310,2018,14,QB,28,42,262,3,1,1,0,0,0,0,0,0
310,2018,15,QB,22,36,231,2,0,3,18,1,0,0,0,0
310,2018,16,QB,15,26,239,3,0,1,-1,0,0,0,0,1
310,2018,17,QB,31,44,378,2,1,4,7,0,0,0,0,0
310,2017,1,QB,21,30,321,1,0,3,11,0,0,0,0,0
310,2017,2,QB,19,28,252,1,0,1,8,0,0,0,0,0
310,2017,3,QB,24,35,294,2,3,1,-1,0,0,0,0,0
310,2017,4,QB,24,42,242,1,2,1,8,0,0,0,0,1
310,2017,6,QB,24,35,248,1,1,0,0,0,0,0,0,0
310,2017,7,QB,23,33,233,1,0,3,37,0,0,0,0,0
310,2017,8,QB,18,29,254,2,0,6,17,0,0,0,0,2
310,2017,9,QB,24,38,313,2,1,1,-1,0,0,0,0,0
310,2017,10,QB,22,29,215,2,1,0,0,0,0,0,0,0
310,2017,11,QB,19,27,195,2,0,3,12,0,0,0,0,0
310,2017,12,QB,26,35,317,1,0,1,1,0,0,0,0,0
310,2017,13,QB,16,29,173,0,0,1,1,0,0,0,0,0
310,2017,14,QB,15,27,221,1,3,3,0,0,0,0,0,0
310,2017,15,QB,17,31,212,1,0,3,29,0,0,0,0,0
310,2017,16,QB,22,36,288,1,1,2,7,0,0,0,0,0
310,2017,17,QB,28,45,317,1,0,3,14,0,0,0,0,0
310,2016,1,QB,27,39,334,2,0,3,10,0,0,0,0,0
310,2016,2,QB,26,34,396,3,1,0,0,0,0,0,0,0
310,2016,3,QB,20,30,240,2,0,5,23,0,0,0,0,0
310,2016,4,QB,28,37,503,4,1,4,14,0,0,0,0,0
310,2016,5,QB,15,28,267,1,0,3,3,0,0,0,0,0
310,2016,6,QB,27,42,335,3,1,1,2,0,0,0,0,1
310,2016,7,QB,22,34,273,1,1,3,8,0,0,0,0,0
310,2016,8,QB,28,35,288,3,0,2,9,0,0,0,0,0
310,2016,9,QB,25,34,344,4,0,2,0,0,0,0,0,1
310,2016,10,QB,18,33,267,1,1,0,0,0,0,0,0,0
310,2016,12,QB,26,34,269,2,1,4,15,0,0,0,0,0
310,2016,13,QB,22,34,297,1,1,3,23,0,0,0,0,0
310,2016,14,QB,18,28,237,3,0,0,0,0,0,0,0,0
310,2016,15,QB,17,23,286,2,0,1,-1,0,0,0,0,0
310,2016,16,QB,27,33,277,2,0,2,9,0,0,0,0,0
310,2016,17,QB,27,36,331,4,0,2,2,0,0,0,0,0
310,2015,1,QB,23,34,298,2,2,5,7,0,0,0,0,0
310,2015,2,QB,30,46,363,1,0,1,-1,0,0,0,0,0
